"Apps","Mins","Mins.Gm","Height","Weight","Age","Av.Rat","Gls","Gls.90","Shot..","xG","Ch.C.90","Asts.90","K.Ps.90","Pas..","Cr.C.A","Drb.90","Distance","Hdr..","K.Tck","Fls","PoM","Aer.A.90","Off","Tck.R","CA","Gls.xG","Dist.Mins","Value","Lower.Transfer.Value","Upper.Transfer.Value"
15,1350,90,186,79,34,6.97,1,0.07,0.08,1.04,0.14,0.07,0.2,0.84,0.25,0,144.3,0.82,4,9,0,15.8,1,1,93,0.961538461538462,0.106888888888889,4500,0,9000
12,970,80.8333333333333,169,64,24,6.93,2,0.19,0.5,0.99,0.24,0,1.48,0.91,0.28,0.37,123.7,0.72,0,17,0,2.97,0,0.73,90,2.02020202020202,0.127525773195876,20000,0,40000
11,978,88.9090909090909,188,91,23,6.75,0,0,0,0,0,0,0.18,0.36,0,0,62.7,0,0,0,0,0,0,0,88,0,0.0641104294478528,20000,0,40000
11,802,72.9090909090909,185,78,25,7.08,1,0.11,0.2,1.03,0.75,0.34,1.12,0.88,0.2,0.22,115.2,0.79,0,9,1,5.27,0,0.57,102,0.970873786407767,0.143640897755611,180000,85000,275000
12,845,70.4166666666667,171,63,22,6.93,1,0.11,0.6,0.53,0,0.43,1.17,0.88,0.5,0.11,115.7,0.69,0,16,0,5.86,2,0.82,96,1.88679245283019,0.136923076923077,207500,40000,375000
16,1440,90,183,79,22,6.78,0,0,0,0.16,0.14,0,0.38,0.87,0.5,0,147.5,0.88,3,19,0,16.38,0,0.82,90,0,0.102430555555556,33000,16000,50000
16,1273,79.5625,189,83,31,7.01,1,0.07,0.29,1.46,0.33,0,0.99,0.91,0.23,0.28,170.9,0.6,0,16,0,4.38,2,0.83,100,0.684931506849315,0.134249803613511,42500,20000,65000
13,1200,92.3076923076923,189,81,30,6.72,0,0,0,0,0,0,0,0.56,0,0,7.5,0,0,0,0,0,0,0,83,0,0.00625,10500,5000,16000
14,1296,92.5714285714286,178,75,27,7.03,0,0,0,0.86,0,0.07,0,0.78,0,0.14,30.9,0.57,0,12,0,3.54,0,1,83,0,0.0238425925925926,13000,6000,20000
14,1296,92.5714285714286,178,75,27,7.03,0,0,0,0.86,0,0.07,0,0.78,0,0.14,30.9,0.57,0,12,0,3.54,0,1,83,0,0.0238425925925926,7750000,5e+06,10500000
16,1440,90,187,82,30,7.16,0,0,0.33,1.05,0,0.12,0.25,0.92,0,0,165.4,0.81,3,6,2,13.31,1,0.93,133,0,0.114861111111111,13000,6000,20000
16,1440,90,187,82,30,7.16,0,0,0.33,1.05,0,0.12,0.25,0.92,0,0,165.4,0.81,3,6,2,13.31,1,0.93,133,0,0.114861111111111,7750000,5e+06,10500000
11,990,90,192,78,31,6.96,0,0,0,0.3,0.61,0,0.18,0.88,1,0.18,112,0.84,3,11,1,17.09,1,0.64,84,0,0.113131313131313,14000,0,28000
13,1200,92.3076923076923,184,90,30,7.49,0,0,0,0,0,0,0,0.51,0,0,9.4,0,0,0,1,0,0,0,83,0,0.00783333333333333,10500,5000,16000
15,1350,90,190,83,26,7.25,2,0.13,0.33,0,0,0.2,0.07,0.76,0,0,19.5,0.85,0,16,0,1.8,0,0.92,101,0,0.0144444444444444,150500,26000,275000
15,1380,92,189,74,27,7.51,0,0,0.14,0,0,0.2,0.2,0.8,0.33,0.26,39.3,0.77,1,21,1,1.43,0,0.91,84,0,0.0284782608695652,19500,9000,30000
13,1200,92.3076923076923,183,75,28,7.28,0,0,0,0.24,0.32,0.3,0.23,0.82,0.5,0.15,35.1,0.91,0,16,1,0.83,0,0.96,86,0,0.02925,11000,0,22000
16,1363,85.1875,192,80,21,6.8,0,0,0,0,0,0,0.26,0.4,0,0,68.5,0,0,0,0,0,0,0,90,0,0.0502567865003668,35000,0,70000
17,1590,93.5294117647059,190,81,22,7.48,2,0.11,1,0.26,0,0.11,0,0.83,0,0,35.3,0.88,0,10,2,3.23,0,0.93,86,7.69230769230769,0.0222012578616352,750,0,1500
17,1566,92.1176470588235,175,75,22,7.12,1,0.06,0.25,0,0,0.23,0.29,0.79,0.31,0,36.7,0.62,1,13,1,0.75,0,0.81,84,0,0.0234355044699872,12000,6000,18000
15,1380,92,187,84,28,7.47,1,0.07,0.38,0,0,0.07,0.07,0.79,0,0,31.5,0.92,1,15,0,3.2,0,1,88,0,0.0228260869565217,22500,10000,35000
16,1440,90,180,72,30,7.37,0,0,0,0,0,0,0.06,0.56,0,0,6.1,0,0,0,2,0,0,0,89,0,0.00423611111111111,7000,0,14000
11,990,90,200,96,22,6.8,0,0,0,0.07,0,0,0.36,0.93,0,0,105.7,0.82,2,3,0,18.82,1,0.88,87,0,0.106767676767677,210000,95000,325000
15,1350,90,200,96,26,7.19,0,0,0,0,0,0,0.07,0.55,0,0,7.8,0,0,0,0,0,0,0,95,0,0.00577777777777778,9750,1500,18000
11,990,90,180,76,29,6.67,0,0,0,0,0,0,0.18,0.43,0,0,59.1,0,0,0,1,0,0,0,87,0,0.0596969696969697,6500,1000,12000
16,1440,90,185,82,26,7.49,1,0.06,0.29,0.69,0,0.19,0,0.76,0,0,20.9,0.92,0,12,0,1.5,0,0.97,90,1.44927536231884,0.0145138888888889,5500,1000,10000
12,1051,87.5833333333333,191,89,24,7.17,0,0,0,0.04,0,0.09,0.77,0.87,0.45,0.26,138.2,0.89,1,15,0,11.39,2,0.88,96,0,0.131493815413892,77500,35000,120000
16,1483,92.6875,191,87,25,7.38,1,0.06,0.35,1.39,0.6,0.36,0.42,0.68,0.28,0.42,43.1,0.74,0,22,2,2.12,2,0.84,83,0.719424460431655,0.0290627107215105,6000,0,12000
15,1380,92,182,80,28,6.92,1,0.07,0.29,0,0,0.2,0,0.75,0,0,15.5,0.91,0,20,0,0.72,1,0.95,80,0,0.011231884057971,2500,0,5000
14,1193,85.2142857142857,187,77,29,6.7,0,0,0.5,0.16,0,0,0,0.92,0,0,129.9,0.81,3,21,0,13.73,1,0.92,99,0,0.108885163453479,35000,0,70000
16,1440,90,183,75,23,7.09,1,0.06,0.22,0.1,0,0.12,0,0.71,0,0,21.3,0.73,0,15,1,1.88,1,0.91,84,10,0.0147916666666667,2250,500,4000
15,1380,92,181,74,24,7.25,2,0.13,0.3,0.15,0,0.13,0,0.72,0,0,13.6,0.79,0,17,1,0.91,0,0.96,84,13.3333333333333,0.00985507246376812,4000,0,8000
19,1695,89.2105263157895,192,87,21,6.89,2,0.11,0.5,1.79,0.08,0.05,0.16,0.96,0,0.11,185.6,0.86,4,13,0,9.4,0,0.7,114,1.11731843575419,0.109498525073746,605000,110000,1100000
11,990,90,187,82,24,7.01,0,0,0,0.87,0,0,0.09,0.88,1,0,112,0.88,1,14,0,17.82,0,0.75,91,0,0.113131313131313,26000,12000,40000
13,1170,90,185,78,27,7.06,0,0,0,0,0,0,0,0.6,0,0,5,0,0,0,0,0,0,0,86,0,0.00427350427350427,2750,500,5000
11,990,90,186,75,23,6.78,0,0,0,0.29,0.1,0.09,0.18,0.92,0,0,118.7,0.79,1,10,1,17.27,1,0.71,92,0,0.11989898989899,99000,18000,180000
14,1178,84.1428571428571,182,75,32,6.97,2,0.15,0.25,1.56,0.12,0,0.31,0.94,1,0,134.9,0.8,0,17,0,16.2,1,1,88,1.28205128205128,0.114516129032258,30000,0,60000
14,1222,87.2857142857143,174,67,22,6.68,2,0.15,0.6,0.63,0.3,0.07,1.47,0.88,0.22,1.91,171.2,0.72,0,43,1,7.29,10,0.96,78,3.17460317460317,0.140098199672668,26000,12000,40000
14,1266,90.4285714285714,198,79,27,7.36,0,0,0,0,0,0,0,0.57,0,0,5.9,0,0,0,0,0,0,0,83,0,0.00466034755134281,7750,3500,12000
15,1400,93.3333333333333,187,77,30,7.57,2,0.13,0.14,0,0,0.13,0.26,0.82,0.55,0,25.6,0.86,1,15,0,1.41,0,0.91,81,0,0.0182857142857143,1000,0,2000
15,1410,94,195,89,24,7.31,1,0.06,0.13,1.74,0.36,0.06,0.19,0.92,0.5,0,148.9,0.79,7,13,1,13.66,4,1,102,0.574712643678161,0.105602836879433,5500,1000,10000
11,932,84.7272727272727,187,79,28,7.1,0,0,0,0,0,0,0.39,0.51,0,0,70.4,0,0,0,1,0,0,0,110,0,0.0755364806866953,49500,9000,90000
17,1590,93.5294117647059,184,77,26,7.19,5,0.28,0.36,1.43,0.27,0.06,0.11,0.79,0,0,41.3,0.91,1,27,0,2.43,0,0.81,88,3.4965034965035,0.0259748427672956,2750,1500,4000
13,1170,90,184,73,25,6.92,0,0,0.14,0.84,0,0,0.31,0.9,0,0,127,0.81,5,4,0,17.08,2,0.71,99,0,0.108547008547009,19250,3500,35000
11,990,90,176,65,24,7.12,1,0.09,0.46,1.63,0.72,0.09,1.27,0.89,0.16,0.18,120.2,0.7,3,13,1,8.91,1,0.84,95,0.613496932515337,0.121414141414141,135000,60000,210000
12,1060,88.3333333333333,175,78,24,6.87,1,0.08,0.11,1.3,0.09,0.17,0.68,0.94,0,0,141.6,0.67,1,6,1,3.31,0,0.86,101,0.769230769230769,0.133584905660377,22000,4000,40000
11,990,90,187,75,26,6.77,0,0,0,0.25,0.1,0,0.91,0.88,0.14,0.36,124.3,0.81,0,21,0,6.55,0,0.86,90,0,0.125555555555556,37500,0,75000
12,1072,89.3333333333333,180,72,29,7.36,0,0,0.25,0.48,0.19,0.08,1.43,0.93,0.38,0.5,145.7,0.57,1,21,0,5.71,1,0.73,93,0,0.135914179104478,32500,0,65000
11,948,86.1818181818182,177,69,28,6.64,1,0.09,0.13,1.75,0.21,0.09,0.95,0.91,0.18,0.47,126.8,0.76,1,14,1,8.07,6,0.89,91,0.571428571428571,0.133755274261603,45000,0,90000
13,1170,90,189,77,27,6.85,0,0,0,0.73,0,0,0,0.94,0,0.08,137.7,0.76,1,11,0,14.38,0,0.9,100,0,0.117692307692308,77500,35000,120000
14,1120,80,192,78,26,6.56,0,0,0.08,1.51,0.11,0,0.32,0.94,0,0.16,147.7,0.84,0,22,0,7.96,1,0.81,101,0,0.131875,60000,10000,110000
14,1120,80,192,78,26,6.56,0,0,0.08,1.51,0.11,0,0.32,0.94,0,0.16,147.7,0.84,0,22,0,7.96,1,0.81,101,0,0.131875,440000,80000,8e+05
11,852,77.4545454545455,192,78,29,6.59,0,0,0,0,0,0,0.21,0.39,0,0,48.9,0,0,1,0,0,0,0,90,0,0.0573943661971831,126000,22000,230000
16,1440,90,180,69,20,6.99,1,0.06,0.1,2.88,0.25,0.12,0.81,0.9,0.18,0.56,185.4,0.7,0,23,1,8.44,5,0.83,87,0.347222222222222,0.12875,9000,0,18000
17,1465,86.1764705882353,177,65,23,6.59,0,0,0.26,1.93,0.42,0.25,1.41,0.85,0.3,1.72,235,0.42,0,24,0,7.8,0,0.68,103,0,0.160409556313993,132000,24000,240000
11,990,90,192,85,27,7.05,0,0,0.25,0.36,0.12,0,0.27,0.89,0,0,108.2,0.87,2,14,1,17.82,0,0.86,95,0,0.109292929292929,22000,4000,40000
16,1420,88.75,182,73,31,7,0,0,0,1.28,0.11,0.06,0.32,0.87,0,0,167.3,0.81,3,8,0,17.3,1,1,87,0,0.117816901408451,88000,16000,160000
15,1345,89.6666666666667,186,79,31,6.85,0,0,0.11,0.49,0,0.13,0.2,0.86,0,0.13,139.8,0.79,1,10,0,16.59,3,0.87,89,0,0.103940520446097,110000,50000,170000
16,1337,83.5625,182,74,19,6.73,0,0,0.5,0.07,1.02,0.13,1.08,0.95,0.28,0.07,167.9,0.87,1,11,1,6.93,1,0.83,104,0,0.125579655946148,825000,150000,1500000
11,878,79.8181818181818,180,72,24,6.91,0,0,0.38,1.42,0.13,0.21,0.92,0.88,0.5,0.1,123.7,0.66,0,11,0,5.95,2,0.55,100,0,0.140888382687927,117500,55000,180000
11,1020,92.7272727272727,192,90,26,6.85,0,0,0,0.44,0,0.09,0.18,0.91,0,0.09,118,0.85,1,15,0,16.68,0,0.85,100,0,0.115686274509804,44000,8000,80000
11,1020,92.7272727272727,179,74,26,6.93,0,0,0,0.27,0.38,0.09,0.88,0.93,0.21,0.71,133.3,0.76,1,13,1,7.68,2,0.7,100,0,0.130686274509804,165000,30000,3e+05
13,1089,83.7692307692308,194,89,27,6.94,2,0.17,0.17,1.1,0.08,0.08,0.17,0.88,0,0.17,111.9,0.86,1,15,1,16.53,2,1,93,1.81818181818182,0.102754820936639,180000,35000,325000
16,1440,90,185,78,26,6.91,0,0,0,0,0,0,0.25,0.42,0,0,96.1,0,0,0,1,0,0,0,90,0,0.0667361111111111,127000,24000,230000
13,1391,107,175,70,23,7.07,0,0,0.35,1.73,0.08,0.06,0.26,0.87,0,0.13,94.6,0.79,0,19,0,1.81,0,0.93,117,0,0.0680086268871316,825000,150000,1500000
12,1046,87.1666666666667,195,102,29,7.15,0,0,0,0.43,0,0.09,0.09,0.83,1,0.09,117.6,0.91,0,10,1,17.04,0,0.55,84,0,0.112428298279159,5000,1000,9000
15,1350,90,186,80,27,7.52,2,0.13,0.18,2.34,0.11,0.07,0.27,0.94,0.33,0,155.2,0.75,4,12,6,16.8,0,0.92,93,0.854700854700855,0.114962962962963,150500,26000,275000
11,1020,92.7272727272727,188,72,24,6.85,0,0,0,0,0,0,0.35,0.4,0,0,74.9,0,0,0,0,0,0,1,107,0,0.0734313725490196,177500,80000,275000
12,1080,90,180,78,23,6.75,0,0,0,0,0,0,0.17,0.43,0,0,59.5,0,0,0,0,0,0,0,89,0,0.0550925925925926,16500,3000,30000
11,869,79,187,80,28,6.37,0,0,0,0,0,0,0.31,0.41,0,0,52.4,0,0,0,0,0,0,0,96,0,0.0602991944764097,105000,50000,160000
11,1036,94.1818181818182,178,65,21,6.83,2,0.17,0.47,1.39,0.29,0.17,1.04,0.93,0.16,0.17,136.1,0.6,0,16,0,3.47,1,0.78,104,1.43884892086331,0.131370656370656,770000,140000,1400000
11,915,83.1818181818182,180,76,24,6.65,0,0,0,0.48,0,0,0,0.95,0,0.49,103.1,0.69,2,13,0,13.18,0,0.8,109,0,0.112677595628415,650000,3e+05,1e+06
13,1158,89.0769230769231,168,64,28,6.6,0,0,0,0.1,0,0.08,0.54,0.95,0.16,0,151.9,0.53,0,39,0,3.11,0,0.66,91,0,0.131174438687392,24750,4500,45000
11,864,78.5454545454545,179,79,28,6.99,1,0.1,0.43,0.83,0,0.1,1.77,0.9,0.37,0,112.7,0.71,0,16,1,4.27,4,0.79,94,1.20481927710843,0.130439814814815,99000,18000,180000
12,954,79.5,183,78,30,7.11,2,0.19,0.4,0.96,0,0,0.09,0.89,0,0.19,116.3,0.86,1,6,0,18.02,1,0.57,94,2.08333333333333,0.121907756813417,26000,12000,40000
15,1350,90,198,95,28,6.87,0,0,0.17,1.93,0,0,0.07,0.91,0,0,151.4,0.9,0,22,0,18.87,0,0.7,98,0,0.112148148148148,66000,12000,120000
16,1287,80.4375,176,68,19,7,0,0,0.33,0.24,0.78,0.21,2.24,0.93,0.24,0.21,169.8,0.71,3,26,0,5.8,1,0.75,102,0,0.131934731934732,660000,120000,1200000
17,1422,83.6470588235294,184,71,23,7.15,1,0.06,0.44,0.29,0.29,0.19,0.95,0.93,0.18,0.32,191.9,0.69,2,6,1,3.92,1,0.95,109,3.44827586206897,0.134950773558368,660000,120000,1200000
12,1066,88.8333333333333,181,78,25,7.17,1,0.08,0.5,0.41,2.82,0.08,1.6,0.96,0.21,0.68,147.4,0.67,3,10,2,6.67,2,0.85,110,2.4390243902439,0.13827392120075,1155000,210000,2100000
15,1350,90,182,72,25,7.21,2,0.13,0.3,0.87,0.5,0.13,1.6,0.92,0.18,0.67,175.3,0.53,0,24,3,4.4,0,0.88,92,2.29885057471264,0.129851851851852,165000,30000,3e+05
16,1468,91.75,185,76,20,6.85,0,0,0.13,2.26,0.21,0.18,0.61,0.92,0.29,0.06,176.5,0.69,3,14,0,13.98,1,1,86,0,0.120231607629428,8000,0,16000
17,1529,89.9411764705882,187,78,25,6.84,0,0,0,0,0.07,0.06,0.18,0.89,0.2,0,177.1,0.74,2,9,0,10.48,0,0.82,114,0,0.115827338129496,41000,7000,75000
11,858,78,177,71,23,7.4,0,0,0.17,1.35,1.29,0.31,2.1,0.9,0.28,3.15,122.1,0.59,0,17,1,3.57,2,1,89,0,0.142307692307692,105000,50000,160000
13,1170,90,193,81,28,6.99,0,0,0,0,0,0,0.46,0.47,0,0,77.3,0,0,2,1,0,0,0,100,0,0.0660683760683761,33000,16000,50000
11,990,90,195,85,24,6.94,0,0,0.14,0.84,0,0,0.18,0.88,0,0.18,109.7,0.82,2,11,0,14.91,0,0.88,115,0,0.110808080808081,260000,45000,475000
16,1440,90,194,84,28,6.49,1,0.06,1,0.03,0,0,0.12,0.97,0,0,166.4,0.59,3,18,0,10.44,1,0.94,106,33.3333333333333,0.115555555555556,59000,28000,90000
11,943,85.7272727272727,183,78,24,6.78,0,0,0.25,0.33,0.12,0.1,0.67,0.91,0,0.1,134.7,0.74,1,23,0,6.59,0,0.67,87,0,0.142841993637328,5500,1000,10000
11,961,87.3636363636364,184,74,23,6.65,0,0,0,0,0,0,0.09,0.49,0,0,56,0,0,0,0,0,0,0,102,0,0.0582726326742976,150500,26000,275000
16,1470,91.875,189,83,27,7.28,0,0,0,0,0.07,0,0.37,0.26,0,0,69,0,1,0,3,0,0,0.33,109,0,0.0469387755102041,365000,180000,550000
11,990,90,185,84,30,7.02,0,0,0.1,1.32,0,0,0.27,0.9,0,0.09,108.7,0.83,0,14,0,17.64,0,1,96,0,0.10979797979798,30000,5000,55000
15,1350,90,182,77,30,6.77,0,0,0,0.03,0,0.07,1.13,0.86,0.14,0.13,164.9,0.7,0,22,0,6.87,2,0.97,80,0,0.122148148148148,155000,70000,240000
15,1410,94,189,78,32,7.03,3,0.19,0.43,1.07,0.25,0,0.83,0.93,0.16,0.19,177.2,0.9,0,32,1,5.87,1,0.79,97,2.80373831775701,0.125673758865248,18000,8000,28000
11,919,83.5454545454545,191,79,25,7.16,0,0,0.38,0.74,0,0.1,0.1,0.92,0,0.2,108.3,0.85,1,10,2,19.19,0,0.78,99,0,0.11784548422198,97500,45000,150000
11,896,81.4545454545455,184,76,29,6.94,1,0.1,0.25,0.99,0.25,0,0.4,0.89,0,0,97.1,0.66,2,7,0,18.08,0,1,88,1.01010101010101,0.108370535714286,15000,0,30000
12,1126,93.8333333333333,186,75,22,6.99,1,0.08,0.44,1.15,0.11,0,0.8,0.91,0.2,0.16,146.8,0.74,3,10,0,9.67,2,0.79,106,0.869565217391304,0.130373001776199,260000,45000,475000
15,1234,82.2666666666667,193,82,23,6.82,0,0,0,0,0,0,0.07,0.46,0,0,70.3,0,0,0,2,0,0,0.33,94,0,0.056969205834684,46500,8000,85000
15,1265,84.3333333333333,184,85,29,7.02,0,0,0,0,0,0,0.36,0.54,0,0,86.2,0,0,0,2,0,0,0,93,0,0.0681422924901186,165000,30000,3e+05
14,1199,85.6428571428571,195,88,26,7.06,1,0.08,0.11,1.81,0.12,0,0,0.95,0,0.08,134.3,0.81,1,7,1,18.17,1,1,93,0.552486187845304,0.112010008340284,192500,35000,350000
15,1286,85.7333333333333,173,71,27,7.03,0,0,0.25,1.31,0.24,0,1.05,0.91,0.09,0.42,164.9,0.73,1,18,0,5.6,0,0.81,85,0,0.128227060653188,192500,85000,3e+05
16,1353,84.5625,178,75,26,7.07,2,0.13,0.19,1.02,0,0.07,0.8,0.92,0.21,0.33,152.4,0.7,0,22,2,10.04,2,0.88,86,1.96078431372549,0.112638580931264,71000,12000,130000
15,1228,81.8666666666667,180,74,22,7.3,2,0.15,0.42,0.91,0.46,0.07,1.39,0.91,0.4,0.15,169.3,0.81,3,31,3,5.28,2,0.65,90,2.1978021978022,0.137866449511401,151500,28000,275000
11,920,83.6363636363636,191,88,24,7.07,0,0,0,0.29,0.28,0,0.2,0.91,0,0,109.3,0.82,2,8,0,12.82,0,0.5,100,0,0.118804347826087,72500,35000,110000
11,990,90,187,80,28,7.45,2,0.18,0.38,1.06,0.3,0.09,1.91,0.86,0.26,3,146.7,0.66,0,14,0,9,5,0.64,95,1.88679245283019,0.148181818181818,13250,2500,24000
12,1080,90,196,102,24,7.26,2,0.17,0.33,0.93,0,0.08,0.33,0.94,0,0.08,123.9,0.83,2,5,1,17.42,0,1,97,2.1505376344086,0.114722222222222,121000,22000,220000
16,1308,81.75,188,81,22,6.76,0,0,0,0,0,0,0.21,0.43,0,0,83,0,0,0,1,0,0,0,91,0,0.0634556574923547,44000,8000,80000
16,1440,90,180,71,22,6.84,1,0.06,0.56,0.66,0.22,0,0.81,0.92,0.5,0.12,167.2,0.8,0,19,1,11.38,1,0.88,85,1.51515151515152,0.116111111111111,151500,28000,275000
13,1170,90,187,80,31,7.22,1,0.08,0.1,3.06,0.15,0.31,0.77,0.86,0.14,0.69,137,0.78,1,17,1,6.62,2,0.87,95,0.326797385620915,0.117094017094017,50000,0,1e+05
38,3420,90,194,81,27,7.03,1,0.03,0.22,0.36,0,0.05,0,0.84,0,0,94.8,0.83,1,45,1,2.68,1,0.91,105,2.77777777777778,0.027719298245614,880000,160000,1600000
16,1399,87.4375,192,85,23,6.94,1,0.06,0.25,0.64,0.8,0.06,0.9,0.91,0.2,0.26,172.1,0.84,2,15,0,6.3,0,0.93,87,1.5625,0.12301644031451,7750,1500,14000
11,982,89.2727272727273,183,78,31,6.84,1,0.09,0.5,0.37,0.17,0.09,0.18,0.95,0,0,110.9,0.72,1,6,0,18.15,2,1,92,2.7027027027027,0.112932790224033,150500,26000,275000
20,1800,90,198,83,26,6.89,1,0.05,0.42,1.33,0,0,0.1,0.96,0,0.05,192.5,0.93,4,20,0,14.75,1,0.82,118,0.75187969924812,0.106944444444444,850000,4e+05,1300000
13,1200,92.3076923076923,185,90,24,6.8,0,0,0,0,0,0,0.07,0.49,0,0,76.7,0,0,1,1,0,0,0,99,0,0.0639166666666667,59000,28000,90000
16,1279,79.9375,177,73,27,6.63,1,0.07,0.5,0.37,0.28,0,0.84,0.9,0.31,0.91,174.5,0.66,0,27,0,5.98,3,0.84,89,2.7027027027027,0.136434714620798,18000,8000,28000
11,990,90,188,80,33,6.91,0,0,0.14,0.65,0.12,0,0,0.91,0,0,112.2,0.81,1,19,0,13.73,1,0.7,104,0,0.113333333333333,97500,45000,150000
30,2664,88.8,180,78,29,6.92,2,0.07,0.13,0.29,0,0.1,0.07,0.75,0.14,0.2,55,0.69,0,34,0,1.52,1,0.95,101,6.89655172413793,0.0206456456456456,262500,50000,475000
